timestamp,open,high,low,close,volume
2025-07-08 19:00:00,0.9998,0.9999,0.9998,0.9998,109314.704
2025-07-08 19:30:00,0.9998,0.9999,0.9997,0.9997,179730.771
2025-07-08 20:00:00,0.9997,0.9999,0.9997,0.9998,170836.497
2025-07-08 20:30:00,0.9998,0.9999,0.9998,0.9998,206265.785
2025-07-08 21:00:00,0.9998,0.9999,0.9998,0.9998,582344.281
2025-07-08 21:30:00,0.9998,0.9999,0.9998,0.9998,349188.195
2025-07-08 22:00:00,0.9998,0.9999,0.9998,0.9998,83142.538
2025-07-08 22:30:00,0.9998,0.9999,0.9998,0.9998,195479.466
2025-07-08 23:00:00,0.9998,0.9999,0.9997,0.9997,139792.522
2025-07-08 23:30:00,0.9997,0.9999,0.9997,0.9997,94383.141
2025-07-09 00:00:00,0.9997,0.9998,0.9997,0.9997,77006.293
2025-07-09 00:30:00,0.9997,0.9998,0.9997,0.9997,73250.237
2025-07-09 01:00:00,0.9997,0.9998,0.9997,0.9997,91684.28
2025-07-09 01:30:00,0.9997,0.9998,0.9997,0.9997,84181.098
2025-07-09 02:00:00,0.9997,0.9998,0.9997,0.9997,70287.781
2025-07-09 02:30:00,0.9997,0.9998,0.9997,0.9997,222534.716
2025-07-09 03:00:00,0.9997,0.9998,0.9997,0.9998,277352.097
2025-07-09 03:30:00,0.9997,0.9998,0.9997,0.9997,160287.394
2025-07-09 04:00:00,0.9997,0.9998,0.9997,0.9997,120657.049
2025-07-09 04:30:00,0.9997,0.9998,0.9997,0.9997,140815.855
2025-07-09 05:00:00,0.9997,0.9998,0.9997,0.9997,172843.431
2025-07-09 05:30:00,0.9997,0.9998,0.9997,0.9997,285086.543
2025-07-09 06:00:00,0.9997,0.9998,0.9997,0.9997,215073.426
2025-07-09 06:30:00,0.9997,0.9998,0.9997,0.9997,191827.217
2025-07-09 07:00:00,0.9997,0.9998,0.9997,0.9997,77955.818
2025-07-09 07:30:00,0.9997,0.9998,0.9997,0.9997,112543.304
